Recipe,Name,Description,ATC
"Add crushed snake fangs to your cauldron and stir. Slice your Pungous Onions finely and place in cauldron, then heat the mixture. Add dried nettles. Add a dash of Flobberworm Mucus and stir vigorously. Add a sprinkle of powdered ginger root and stir vigorously again. Add pickled Shrake spines. Stir gently, so as not to overexcite the Shrake spines. Add a glug of stewed horned slugs. Add porcupine quills. Finally, wave your wand over the cauldron to finish the potion.",Cure for Boils,potion which removed boils,Dermatologicals
"Add 2 drops of Lethe River Water to your cauldron. Gently heat for 20 seconds. Add 2 Valerian sprigs to your cauldron. Stir 3 times, clockwise. Wave your wand. Leave to brew and return in 45-60 minutes. Add 2 measures of Standard Ingredient to the mortar. Add 4 mistletoe berries to the mortar. Crush into a medium-fine powder using the pestle. Add 2 pinches of the crushed mixture to your cauldron. Stir 5 times, anti-clockwise. Wave your wand to complete the potion.",Forgetfulness Potion,potion which caused an unknown degree of memory loss in the drinker.,Nervous system
"Add 4 lionfish spines to the mortar. Crush into a rough powder using the pestle. Add 2 measurements of Standard Ingredient to the mortar. Crush into a rough powder. Add 3 measures of the crushed mixture to your cauldron. Wave your wand. Leave to brew and return in 45/51/60 minutes (depending on your cauldron). Add 2 measures of Horklump juice to your cauldron. Heat to a medium temperature for 10 seconds. Add 2 blobs of Flobberworm Mucus to your cauldron while it is still on the heat. Stir 4 times, clockwise. Wave your wand to complete the potion.",Herbicide Potion,poisonous potion that killed or damages plants,"Antiparasitic products, insecticides and repellents"
"Add 4 sprigs of Lavender to the mortar. Add 2 measures of Standard Ingredient to the mortar. Crush into a creamy paste using the pestle. Add 2 blobs of Flobberworm Mucus to your cauldron. Add 2 measures of Standard Ingredient to your cauldron. Gently heat for 30 seconds. Add 3 measures of the crushed mixture to your cauldron. Wave your wand. Leave to brew and return in 70 minutes (time depends on cauldron). Add 2 measures of Standard Ingredient to your cauldron. Heat on a high temperature for 1 minute. Add 4 Valerian Sprigs to your cauldron. Stir 7 times, clockwise. Wave your wand to complete the potion.",Sleeping Draught,sleeping potion,Nervous system
"Add salamander blood until the potion turns red. Stir until the potion turns orange. Add more salamander blood, this time until it turns yellow. Stir until the potion turns green. Add more salamander blood, until the potion turns turquoise. Heat until it turns indigo. Add more salamander blood until the potion turns pink. Heat until the potion turns red. Add five lionfish spines. Heat until the potion turns yellow. Add five more lionfish spines. Add flobberworm mucus, until the potion turns purple. Stir until it turns red. Add more flobberworm mucus, this time until it turns orange. Stir till it turns yellow. Add Honey water until it turns back to a turquoise colour. Add another few drops of boom berry juice. Stir the potion again, then let it simmer for thirty minutes. Take the potion away from the heat and allow it to cool, when it is cool its ready for use.",Wiggenweld Potion,"The Wiggenweld Potion was a healing potion with the power to cure injuries, and was the antidote to the Sleeping Draught and the Draught of Living Death.",Nervous system
"Add 1 Bezoar to the mortar. Crush into a very fine powder using the pestle. Add 4 measures of the crushed Bezoar to your cauldron. Add 2 measures of Standard Ingredient to your cauldron. Heat to a medium temperature for 5 seconds. Wave your wand. Leave to brew and return in 40 minutes with pewter cauldron, 34 minutes with brass cauldron and 30 minutes with copper cauldron. Add 1 pinch of Unicorn Horns to your cauldron. Stir 2 times, clockwise Add 2 Mistletoe Berries to your cauldron. Stir 2 times, anti-clockwise. Wave your wand to complete the potion.",Antidote to Common Poisons,antidote,various
Crush Flitterby Moth into a pulp and add it to the cauldron. Stir the mixture clockwise until it turns green. Ground the Bouncing Bulb with a mortar and add it to the cauldron. Stir the mixture anti-clockwise until it turns red. Slice the Foxglove and add it to the mixture. Stir the mixture clockwise until it turns orange.,Pompion Potion,temporarily turned the drinker's head into a pumpkin.,Musculo-skeletal system
"Slice bursting mushrooms with knife, add to cauldron and stir clockwise until potion turns blue. Add salamander blood to cauldron, stir anti-clockwise until potion turns green. Crush Wartcap powder in pestle, add to cauldron and stir clockwise until potion turns red.",Fire Protection Potion,"potion used to move through flames unscathed, also known as ice potion",various
"Add 2 scoops of dried nettles to the mortar. Add 3 puffer-fish eyes to the mortar. Crush into a medium-fine powder. Add 2 measures of the crushed mix to your cauldron. Add two tablespoons of water to the powder in the cauldron and mix them together. Heat on a medium temperature for twenty minutes. Add some more water to the cauldron and stir the mixture carefully. Wave your wand. Leave to brew and return in 60 minutes (depends on the type of cauldron used). Add 1 bat spleen to the cauldron. Stir 4 times, anti-clockwise. Heat to low for 30 seconds. Wave your wand to complete the potion.",Swelling Solution,potion which caused whatever it touched to swell in size.,Musculo-skeletal system
Add rat tails. Add porcupine quills. Add Billywig stings.,Hair-Raising Potion,potion that caused the drinker's hair to stand on end,Dermatologicals
